target,motif,PuzzleId,FEN,Moves,Rating,Popularity,NbPlays,Themes
pin,pin,Dxex2,7r/8/p6p/3R4/6p1/P5q1/1PQ5/K5k1 b - - 0 42,g3e1 d5d1 e1d1 c2d1,1096,78,99,901,crushing defensiveMove endgame pin short,https://lichess.org/b97UE6YT/black#84,,
pin,pin,FVp1e,4k3/p3q2p/1p2bp1Q/4p3/8/6RP/2P4K/8 b - - 5 38,e6f5 g3g8 e8d7 g8g7,1706,75,97,5559,crushing endgame master pin short,https://lichess.org/xhzOs4cL/black#76,,
pin,pin,H77SY,4r1rk/2qn2b1/7p/3nPp2/Npp1Q3/6BP/1PB1R3/4R1K1 w - f6 0 39,e4d5 g7e5 g1h1 g8g3,2008,75,95,1080,advantage discoveredAttack middlegame pin short,https://lichess.org/xzonTrNA#77,,
pin,pin,Ihb4d,1B1qr1k1/5bpp/5p2/p7/2Pp2NP/5P2/PPQ3P1/1K5R w - - 3 27,b8g3 f7g6 c2g6 h7g6,1782,75,93,5220,crushing middlegame pin short,https://lichess.org/FpXYgDyF#53,,
pin,pin,KDEyp,8/8/1R2p3/4P1K1/5P2/3k2P1/8/7q b - - 8 88,h1d5 b6d6 d3c2 d6d5,1195,75,96,8289,crushing endgame pin queenRookEndgame short,https://lichess.org/4mdCmf48/black#176,,
pin,pin,LlGje,r1bk1b1r/pp5p/5p1n/1Bq1p3/3p4/P1N1B3/1PQ2PPP/1K1R3R b - - 2 17,c5b5 c3b5 c8f5 d1d3,1657,75,88,623,crushing hangingPiece middlegame pin short,https://lichess.org/Gpbx7S8a/black#34,French_Defense French_Defense_Advance_Variation,
pin,pin,NIhaq,rn2k1nr/pQpb1ppp/8/2b5/2P2p1P/3P4/PPK3P1/RNB1qB1R b kq - 0 14,c5e3 c1e3 f4e3 b7a8,2092,78,91,628,advantage opening pin short trappedPiece,https://lichess.org/x2KnTpLY/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Modern_Defense,
pin,pin,OpBrr,8/7p/rp1k1p2/1R6/5PK1/7P/6P1/8 w - - 8 38,g4f5 a6a5 b5a5 b6a5,1134,81,94,2164,crushing endgame pin rookEndgame short,https://lichess.org/2VLrBfIi#75,,
pin,pin,QNgIv,4r1k1/1p3ppp/p3n1r1/3p1Qnq/3P4/1PP1PP2/4R1PN/2BR1B1K w - - 1 33,h1g1 g5h3 f5h3 h5h3,1667,78,95,27991,advantage kingsideAttack middlegame pin short,https://lichess.org/oynrS90m#65,,
pin,pin,RvR2O,5rk1/1pp1r2p/p5p1/3pNq2/1P1PnP2/P6R/2P3QP/5R1K b - - 9 34,g8h8 e5g6 f5g6 g2g6,1222,80,86,843,crushing kingsideAttack middlegame pin short,https://lichess.org/s5nsfrIQ/black#68,,
pin,pin,TSUzq,r2r2k1/1b3N1p/pp2pqp1/5n2/2BP2Q1/4R3/PP3PPP/R5K1 b - - 0 21,f5e3 f2e3 g8f7 a1f1,2198,76,91,800,advantage master middlegame pin short,https://lichess.org/zpzLgkEY/black#42,,
pin,pin,V3f97,r1q2rk1/4ppbp/2n3p1/4P1Bn/8/pB3N1b/P2N1PP1/2RQR1K1 w - - 0 20,g5e7 c8g4 f3h4 c6e7,2077,76,94,6647,crushing intermezzo middlegame pin short,https://lichess.org/9JZ5tFFq#39,,
